Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Greg Ward (15905297),Greg Ward,15905297,WR/FLEX,3100,NO@PHI 12/13/2020 04:25PM ET,PHI,8.72
WR,Equanimeous St. Brown (15905303),Equanimeous St. Brown,15905303,WR/FLEX,3000,GB@DET 12/13/2020 04:25PM ET,GB,2.76
WR,Malik Taylor (15905493),Malik Taylor,15905493,WR/FLEX,3000,GB@DET 12/13/2020 04:25PM ET,GB,2.31
WR,Tavon Austin (15905495),Tavon Austin,15905495,WR/FLEX,3000,GB@DET 12/13/2020 04:25PM ET,GB,0
WR,Mohamed Sanu (15905497),Mohamed Sanu,15905497,WR/FLEX,3000,GB@DET 12/13/2020 04:25PM ET,DET,5.68
WR,Jamal Agnew (15905499),Jamal Agnew,15905499,WR/FLEX,3000,GB@DET 12/13/2020 04:25PM ET,DET,1.97
WR,Chris Conley (15905483),Chris Conley,15905483,WR/FLEX,3000,TEN@JAX 12/13/2020 01:00PM ET,JAX,6.22
WR,Dede Westbrook (15905485),Dede Westbrook,15905485,WR/FLEX,3000,TEN@JAX 12/13/2020 01:00PM ET,JAX,0.2
WR,Cameron Batson (15905487),Cameron Batson,15905487,WR/FLEX,3000,TEN@JAX 12/13/2020 01:00PM ET,TEN,3.48
WR,Kalif Raymond (15905489),Kalif Raymond,15905489,WR/FLEX,3000,TEN@JAX 12/13/2020 01:00PM ET,TEN,2.53
WR,Nick Westbrook-Ikhine (15905491),Nick Westbrook-Ikhine,15905491,WR/FLEX,3000,TEN@JAX 12/13/2020 01:00PM ET,TEN,1.08
WR,Will Fuller V (15905301),Will Fuller V,15905301,WR/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,HOU,18.54
WR,Javon Wims (15905469),Javon Wims,15905469,WR/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,2.1
WR,DeAndre Carter (15905471),DeAndre Carter,15905471,WR/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,0.07
WR,Riley Ridley (15905473),Riley Ridley,15905473,WR/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,3.95
WR,Dwayne Harris (15905475),Dwayne Harris,15905475,WR/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,-0.33
WR,Steven Mitchell Jr. (15905477),Steven Mitchell Jr.,15905477,WR/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,HOU,0
WR,Isaiah Coulter (15905479),Isaiah Coulter,15905479,WR/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,HOU,0
WR,Randall Cobb (15905481),Randall Cobb,15905481,WR/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,HOU,10.01
TE,Jimmy Graham (15905553),Jimmy Graham,15905553,TE/FLEX,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,8.45
DST,Bears  (15905739),Bears ,15905739,DST,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,5.42
WR,Brandon Zylstra (15905451),Brandon Zylstra,15905451,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,CAR,2.6
WR,Pharoh Cooper (15905453),Pharoh Cooper,15905453,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,CAR,0.2
WR,Keith Kirkwood (15905455),Keith Kirkwood,15905455,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,CAR,2.3
WR,Omar Bayless (15905457),Omar Bayless,15905457,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,CAR,0
WR,KJ Hamler (15905459),KJ Hamler,15905459,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,DEN,6.58
WR,DaeSean Hamilton (15905461),DaeSean Hamilton,15905461,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,DEN,4.94
WR,Tyrie Cleveland (15905463),Tyrie Cleveland,15905463,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,DEN,0.63
WR,Diontae Spencer (15905465),Diontae Spencer,15905465,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,DEN,0.37
WR,Courtland Sutton (15905467),Courtland Sutton,15905467,WR/FLEX,3000,DEN@CAR 12/13/2020 01:00PM ET,DEN,9.6
WR,Chad Beebe (15905309),Chad Beebe,15905309,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,MIN,3.84
WR,Scotty Miller (15905435),Scotty Miller,15905435,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,TB,7.71
WR,Tyler Johnson (15905437),Tyler Johnson,15905437,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,TB,4.22
WR,Justin Watson (15905439),Justin Watson,15905439,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,TB,2.34
WR,Jaydon Mickens (15905441),Jaydon Mickens,15905441,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,TB,1.42
WR,John Franklin III (15905443),John Franklin III,15905443,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,TB,0
WR,Dan Chisena (15905445),Dan Chisena,15905445,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,MIN,0
WR,Tajae Sharpe (15905447),Tajae Sharpe,15905447,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,MIN,0
WR,K.J. Osborn (15905449),K.J. Osborn,15905449,WR/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,MIN,0
TE,Cameron Brate (15905551),Cameron Brate,15905551,TE/FLEX,3000,MIN@TB 12/13/2020 01:00PM ET,TB,5.01
WR,Andy Isabella (15905419),Andy Isabella,15905419,WR/FLEX,3000,ARI@NYG 12/13/2020 01:00PM ET,ARI,4.98
